"Car_Name","Price","Mileage","Fuel","Gearbox","Year","Voivodeship"
"Opel Corsa 1.2 GS Line Plus Pack S&S","61 990","16 000 km","Benzyna","Automatyczna","2021","Dolnośląskie"
"Opel Astra V 1.4 T Dynamic S&S","40 500","122 820 km","Benzyna","Automatyczna","2017","Zachodniopomorskie"
"Opel Vectra 1.6 Elegance","7 500","268 784 km","Benzyna","Manualna","2006","Małopolskie"
"Opel Mokka 1.4 T Cosmo EU6","39 999","90 000 km","Benzyna","Manualna","2016","Kujawsko-pomorskie"
"Opel Astra","21 800","183 000 km","Benzyna","Manualna","2012","Wielkopolskie"
"Opel Mokka X 1.6 Enjoy S&S","44 900","110 184 km","Benzyna","Manualna","2016","Lubelskie"
"Opel Astra V 1.4 T Dynamic","43 000","150 000 km","Benzyna","Manualna","2017","Łódzkie"
"Opel Crossland X 1.2 Start/Stop Automatik Edition","55 500","55 515 km","Benzyna","Automatyczna","2020","Małopolskie"
"Opel Corsa","28 900","176 000 km","Benzyna+LPG","Manualna","2015","Śląskie"
"Opel Mokka 1.4 T Enjoy EU6","39 900","168 000 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Crossland X 1.2 Start/Stop Automatik Edition","54 900","78 500 km","Benzyna","Automatyczna","2021","Pomorskie"
"Opel Astra III 1.6 Cosmo","20 500","230 000 km","Benzyna+LPG","Manualna","2010","Kujawsko-pomorskie"
"Opel Mokka","51 900","136 000 km","Diesel","Manualna","2018","Łódzkie"
"Opel Astra","8 500","188 063 km","Benzyna","Manualna","2006","Kujawsko-pomorskie"
"Opel Crossland X 1.2 T Eco Design Line S&S","44 800","58 932 km","Benzyna","Manualna","2018","Mazowieckie"
"Opel Mokka 1.7 CDTI Automatik Innovation","34 500","142 000 km","Diesel","Automatyczna","2014","Śląskie"
"Opel Astra IV 1.7 CDTI Enjoy","26 500","116 480 km","Diesel","Manualna","2014","Łódzkie"
"Opel Mokka","31 900","177 000 km","Diesel","Manualna","2015","Zachodniopomorskie"
"Opel Astra IV GTC 1.6 CDTI Enjoy S&S","25 000","200 000 km","Diesel","Manualna","2012","Kujawsko-pomorskie"
"Opel Insignia 1.6 Turbo Cosmo","22 400","182 223 km","Benzyna","Manualna","2010","Śląskie"
"Opel Astra","25 900","152 000 km","Diesel","Manualna","2016","Mazowieckie"
"Opel Zafira 2.0 CDTI Elite EcoFLEX S&S","26 900","193 500 km","Diesel","Manualna","2015","Lubuskie"
"Opel Corsa","19 000","97 218 km","Benzyna","Manualna","2012","Śląskie"
"Opel Corsa 1.4 16V 111","16 400","160 000 km","Benzyna","Manualna","2010","Śląskie"
"Opel Insignia","25 500","192 617 km","Diesel","Automatyczna","2012","Pomorskie"
"Opel Meriva","31 900","154 000 km","Benzyna","Manualna","2015","Podlaskie"
"Opel Astra","27 900","154 000 km","Benzyna","Manualna","2016","Śląskie"
"Opel Meriva 1.4 T Cosmo","22 900","119 000 km","Benzyna","Manualna","2014","Małopolskie"
"Opel Insignia 1.8 Active","17 999","132 000 km","Benzyna","Manualna","2009","Kujawsko-pomorskie"
"Opel Astra 1.4 Turbo 150 Jahre","25 800","125 000 km","Benzyna","Manualna","2012","Śląskie"
"Opel Insignia 2.0 CDTI Edition S&S","29 999","170 000 km","Diesel","Manualna","2016","Opolskie"
"Opel Corsa 1.2 16V Cosmo","14 500","98 000 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Mokka X 1.4 (ecoFLEX) ECOTEC Start/Stop Innovation","53 900","89 000 km","Benzyna","Manualna","2018","Podlaskie"
"Opel Mokka 1.4 T Enjoy EU6","37 900","143 500 km","Benzyna","Manualna","2014","Lubuskie"
"Opel Astra 1.4 Turbo 150 Jahre","25 900","146 800 km","Benzyna","Manualna","2012","Podkarpackie"
"Opel Astra IV 1.7 CDTI Cosmo S&S","21 990","195 000 km","Diesel","Manualna","2013","Małopolskie"
"Opel Mokka X","51 555","65 000 km","Benzyna","Manualna","2017","Śląskie"
"Opel Astra 1.5 D Start/Stop Elegance","44 900","55 670 km","Diesel","Manualna","2019","Małopolskie"
"Opel Corsa 1.6T OPC","29 900","206 000 km","Benzyna","Manualna","2011","Mazowieckie"
"Opel Insignia CT 2.0 CDTI 4x4 S&S","38 000","224 200 km","Diesel","Manualna","2013","Małopolskie"
"Opel Astra V 1.2 T Edition S&S","42 000","110 315 km","Benzyna","Manualna","2020","Pomorskie"
"Opel Vivaro","64 999","239 623 km","Diesel","Manualna","2017","Mazowieckie"
"Opel Corsa 1.4 16V Color Edition","22 900","154 000 km","Benzyna","Manualna","2014","Śląskie"
"Opel Meriva 1.4 Automatik Active","24 900","130 900 km","Benzyna","Automatyczna","2012","Lubuskie"
"Opel Mokka","53 900","95 875 km","Benzyna","Manualna","2017","Mazowieckie"
"Opel Meriva 1.4 Automatik Active","26 000","141 800 km","Benzyna","Automatyczna","2013","Śląskie"
"Opel Adam 1.4 White Link","25 900","164 000 km","Benzyna","Manualna","2013","Podkarpackie"
"Opel Antara","19 900","159 456 km","Benzyna","Manualna","2008","Łódzkie"
"Opel Corsa 1.2 Direct Inj Turbo Start/Stop Automatik Edition","68 880","8 100 km","Benzyna","Automatyczna","2024","Śląskie"
"Opel Astra 1.4 Turbo ENERGY","23 999","165 000 km","Benzyna","Manualna","2014","Podlaskie"
"Opel Astra 1.4 Turbo Sports Tourer","24 900","143 000 km","Benzyna","Manualna","2012","Mazowieckie"
"Opel Astra IV 2.0 CDTI Cosmo","8 000","145 014 km","Diesel","Automatyczna","2010","Małopolskie"
"Opel Astra","45 900","124 000 km","Benzyna","Manualna","2016","Śląskie"
"Opel Mokka 1.4 T Cosmo S&S","39 100","164 815 km","Benzyna","Manualna","2016","Mazowieckie"
"Opel Grandland X 1.2 T GPF Elite S&S","49 400","130 384 km","Benzyna","Manualna","2017","Mazowieckie"
"Opel Mokka 1.6 Enjoy S&S","48 500","144 615 km","Benzyna","Manualna","2017","Mazowieckie"
"Opel Astra V 1.6 CDTI Enjoy","39 873","175 165 km","Diesel","Manualna","2018","Zachodniopomorskie"
"Opel Mokka 1.6 ecoFLEX Start/Stop Edition","38 900","134 000 km","Benzyna","Manualna","2014","Lubuskie"
"Opel Insignia 2.0 CDTI automatik Cosmo","26 900","166 000 km","Diesel","Automatyczna","2009","Mazowieckie"
"Opel Mokka 1.4 T Cosmo S&S EU6","42 800","170 000 km","Benzyna","Manualna","2015","Mazowieckie"
"Opel Astra V 1.4 T GPF Enjoy","39 800","142 565 km","Benzyna","Manualna","2019","Śląskie"
"Opel Meriva 1.4 Style","17 750","202 980 km","Benzyna","Manualna","2010","Podlaskie"
"Opel Astra","38 900","168 000 km","Benzyna","Manualna","2016","Śląskie"
"Opel Astra 1.4 Turbo Start/Stop Dynamic","40 900","89 000 km","Benzyna","Manualna","2015","Mazowieckie"
"Opel Astra 1.4 Turbo Edition","38 900","98 100 km","Benzyna","Manualna","2016","Lubuskie"
"Opel Astra III 1.4","13 000","97 687 km","Benzyna","Manualna","2009","Kujawsko-pomorskie"
